Quant Comparison Group	notes	Title	First Author	Last Author	PRIDE ID	Zenodo	Phagosome Isolation Method	cells	Comparison groups	phagosome cargo	harvest timepoint (min)	reference FASTA	reference contam	Quantitation type	SILAC light labels	SILAC medium labels	SILAC heavy labels	Calculate iBAQ	Fixed PTMs	Variable PTMs	MS/MS analyzer	Acquisition mode	Gradient duration (min)	"""Match between runs"" (min)"	Reprocessed	raw files	num raw files	approx GB	Species included in search	Cells	Cell type notes	Cellular Input	Phagosome ID	Phagosome Cargo	Multiplicity of Infection	Phagosome Timepoint (hrs)	Mass Spectrometry Sample Preparation	Quantitation		Search Software	Fixed PTMs	Variable PTMs	MassIVE ID	Annotation	Included in Phagosome-DB?	DOI	PMCID	Journal	Year
Allsup2026_batch1	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead +HRP, bead noHRP"	"epoxy bead (2.8 um, HRP conjugated)"	60	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Mouse																				
Allsup2026_batch2	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	hMDM	"bead +HRP, bead noHRP"	"epoxy bead (2.8 um, HRP conjugated)"	60	human	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Human																				
Allsup2026_batch3	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead +HRP, bead +LPS +HRP, bead +HRP +Ecoli_coinfection, E. coli +HRP, noHRP"	"epoxy bead (2.8 um, HRP conjugated), E. coli"	30	mouse	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	150	1					Mouse				Bead	bead															
Allsup2026_batch4	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"bead_30, bead_60, bead_120"	"epoxy bead (HRP conjugated, 2.8 um)"	"30, 60, 120"	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100																										
Allsup2026_batch5	repository still private as of 260628	"PhagoID: Quantitative in situ proximity labeling defines the proteomes of bead- and microbe-containing phagosome lumina across species, maturation, and immune activation"	Allsup	Bryson	PXD055598	n/a	Proximity labeling	iBMDM	"WT, TFEBKO, LAMP1KO"	"epoxy bead (HRP conjugated, 2.8 um)"	60	mouse	default + CRAPome	TMT10	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Orbitrap Exploris 480	DDA	100						Mouse				Bead (LPS stimulation)	bead+LPS															
Wogram2024_batch1_iPSC-microglia-monoculture-resting-vs-LPSIFNy	"NOTE; MAY EVENTUALLY SPLIT THE +/- IFNY INTO 2 SEPARATE SEARCHES. split the mono vs coculture into 2 separate searches because they were acquired ~2 weeks apart (coculture acquisition from June 14-16 2021, monoculture acquisition from June 27-29 2021). Difficult to match between runs with samples acquired this far apart. "	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Monoculture_resting_aCD68IP, Monoculture_resting_IsotypeIP, Monoculture_LPS+IFNy_aCD68IP, Monoculture_LPS+IFNy_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch2_iPSC-microglia-coculture-resting-vs-LPSIFNy	"NOTE; MAY EVENTUALLY SPLIT THE +/- IFNY INTO 2 SEPARATE SEARCHES. split the mono vs coculture into 2 separate searches because they were acquired ~2 weeks apart (coculture acquisition from June 14-16 2021, monoculture acquisition from June 27-29 2021). Difficult to match between runs with samples acquired this far apart. "	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Coculture_resting_aCD68IP, Coculture_resting_IsotypeIP, Coculture_LPS+IFNy_aCD68IP, Coculture_LPS+IFNy_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch3_iPSC-microglia-membranous	Membranous and soluble were acquired interleaved with each other. Could run in same search but it makes more sense to keep them separate due to different preparations.	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Membranous_aCD68IP, Membranous_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch4_iPSC-microglia-soluble	Membranous and soluble were acquired interleaved with each other. Could run in same search but it makes more sense to keep them separate due to different preparations.	Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569628	Organellar IP	iPSC microglia	"Soluble_aCD68IP, Soluble_IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Wogram2024_batch5_primary-microglia-CD68ip		Rapid phagosome isolation enables unbiased multiomic analysis of human microglial phagosomes	Wogram	Jaenisch	n/a	https://doi.org/10.5281/zenodo.10569084	Organellar IP	primary microglia	"aCD68IP, IsotypeIP"	polystyrene bead (2 um)	30	human	default + CRAPome	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)	Thermo Q Exactive HF-X Hybrid Quadrupole-Orbitrap	DDA	127																										
Chatterjee2026_batch1_phagocyt-salmonella	repository still private as of 260628	Flow cytometry-based isolation of Salmonella-containing phagosomes combined with ultra-sensitive proteomics reveals novel insights into host-pathogen interactions	Chatterjee	Trost	PXD062621	n/a	FACS	THP-1	"Styphimurium_30, Styphimurium_240"	S. typhimurium	"30, 240"	human	default	LFQ	n/a	n/a	n/a	TRUE	Carbamidomethyl (C)	Acetyl (Protein N-term); Oxidation (M)		DIA																											
Rao2009_batch1		A systems biology approach to study the phagosomal proteome modulated by mycobacterial infections	Rao	Li	none		Physical fractionation (dounce homogenizer + 28G needle) -> 500xg -> supernatant to 50/12% sucrose gradient -> 1000xg for 60min -> interphase to 70kDa ficoll -> 400 kDa ficoll -> SDS/PAGE gel							LTQ-FTMS															Mouse	BMA.A3	Macrophage-like cell line from C57Bl/6 mice	100 ug of purified phagosome protein		"M. tuberculosis (H37Rv, WT)"	5 bacteria: 1 macrophage	22	SDS/PAGE gel	LFQ		Trans-Proteomic Pipeline		oxidation (M)	none				19918316	Int J Clin Exp Med	2009
Rao2009_batch1					none																													"M. tuberculosis (H37Rv, fbpA KO)"	5 bacteria: 1 macrophage	22							none						
Rao2009_batch1					none																													M. bovis (BCG)	5 bacteria: 1 macrophage	22							none						
Li_batch1					none																																						none			10.1021/pr101245u			
Shui2008_batch1			Shui	Bertozzi	none																																						none			10.1073/pnas.0809218105			2008
Shui2010_batch2			Shui	Bertozzi																																										10.1021/pr100688h			2010
